title,category,category_code,summary,summary_word_count
Machine Learning in/for Blockchain: Future and Challenges,Cryptography and Security,cs.CR,"Machine learning and blockchain are two of the most noticeable technologies
in recent years. The first one is the foundation of artificial intelligence and
big data, and the second one has significantly disrupted the financial
industry. Both technologies are data-driven, and thus there are rapidly growing
interests in integrating them for more secure and efficient data sharing and
analysis. In this paper, we review the research on combining blockchain and
machine learning technologies and demonstrate that they can collaborate
efficiently and effectively. In the end, we point out some future directions
and expect more researches on deeper integration of the two promising
technologies.",103
"PWG-IDS: An Intrusion Detection Model for Solving Class Imbalance in
  IIoT Networks Using Generative Adversarial Networks",Cryptography and Security,cs.CR,"With the continuous development of industrial IoT (IIoT) technology, network
security is becoming more and more important. And intrusion detection is an
important part of its security. However, since the amount of attack traffic is
very small compared to normal traffic, this imbalance makes intrusion detection
in it very difficult. To address this imbalance, an intrusion detection system
called pretraining Wasserstein generative adversarial network intrusion
detection system (PWG-IDS) is proposed in this paper. This system is divided
into two main modules: 1) In this module, we introduce the pretraining
mechanism in the Wasserstein generative adversarial network with gradient
penalty (WGAN-GP) for the first time, firstly using the normal network traffic
to train the WGAN-GP, and then inputting the imbalance data into the
pre-trained WGAN-GP to retrain and generate the final required data. 2)
Intrusion detection module: We use LightGBM as the classification algorithm to
detect attack traffic in IIoT networks. The experimental results show that our
proposed PWG-IDS outperforms other models, with F1-scores of 99% and 89% on the
2 datasets, respectively. And the pretraining mechanism we proposed can also be
widely used in other GANs, providing a new way of thinking for the training of
GANs.",197
BPFNet: A Unified Framework for Bimodal Palmprint Alignment and Fusion,Computer Vision and Pattern Recognition,cs.CV,"Bimodal palmprint recognition leverages palmprint and palm vein images
simultaneously,which achieves high accuracy by multi-model information fusion
and has strong anti-falsification property. In the recognition pipeline, the
detection of palm and the alignment of region-of-interest (ROI) are two crucial
steps for accurate matching. Most existing methods localize palm ROI by
keypoint detection algorithms, however the intrinsic difficulties of keypoint
detection tasks make the results unsatisfactory. Besides, the ROI alignment and
fusion algorithms at image-level are not fully investigaged.To bridge the gap,
in this paper, we propose Bimodal Palmprint Fusion Network (BPFNet) which
focuses on ROI localization, alignment and bimodal image fusion.BPFNet is an
end-to-end framework containing two subnets: The detection network directly
regresses the palmprint ROIs based on bounding box prediction and conducts
alignment by translation estimation.In the downstream,the bimodal fusion
network implements bimodal ROI image fusion leveraging a novel proposed
cross-modal selection scheme. To show the effectiveness of BPFNet,we carry out
experiments on the large-scale touchless palmprint datasets CUHKSZ-v1 and
TongJi and the proposed method achieves state-of-the-art performances.",169
"Protecting Feed-Forward Networks from Adversarial Attacks Using
  Predictive Coding",Cryptography and Security,cs.CR,"An adversarial example is a modified input image designed to cause a Machine
Learning (ML) model to make a mistake; these perturbations are often invisible
or subtle to human observers and highlight vulnerabilities in a model's ability
to generalize from its training data. Several adversarial attacks can create
such examples, each with a different perspective, effectiveness, and
perceptibility of changes. Conversely, defending against such adversarial
attacks improves the robustness of ML models in image processing and other
domains of deep learning. Most defence mechanisms require either a level of
model awareness, changes to the model, or access to a comprehensive set of
adversarial examples during training, which is impractical. Another option is
to use an auxiliary model in a preprocessing manner without changing the
primary model. This study presents a practical and effective solution -- using
predictive coding networks (PCnets) as an auxiliary step for adversarial
defence. By seamlessly integrating PCnets into feed-forward networks as a
preprocessing step, we substantially bolster resilience to adversarial
perturbations. Our experiments on MNIST and CIFAR10 demonstrate the remarkable
effectiveness of PCnets in mitigating adversarial examples with about 82% and
65% improvements in robustness, respectively. The PCnet, trained on a small
subset of the dataset, leverages its generative nature to effectively counter
adversarial efforts, reverting perturbed images closer to their original forms.
This innovative approach holds promise for enhancing the security and
reliability of neural network classifiers in the face of the escalating threat
of adversarial attacks.",242
"Differentially Private Generative Adversarial Networks for Time Series,
  Continuous, and Discrete Open Data",Cryptography and Security,cs.CR,"Open data plays a fundamental role in the 21th century by stimulating
economic growth and by enabling more transparent and inclusive societies.
However, it is always difficult to create new high-quality datasets with the
required privacy guarantees for many use cases. This paper aims at creating a
framework for releasing new open data while protecting the individuality of the
users through a strict definition of privacy called differential privacy.
Unlike previous work, this paper provides a framework for privacy preserving
data publishing that can be easily adapted to different use cases, from the
generation of time-series to continuous data, and discrete data; no previous
work has focused on the later class. Indeed, many use cases expose discrete
data or at least a combination between categorical and numerical values. Thanks
to the latest developments in deep learning and generative models, it is now
possible to model rich-semantic data maintaining both the original distribution
of the features and the correlations between them. The output of this framework
is a deep network, namely a generator, able to create new data on demand. We
demonstrate the efficiency of our approach on real datasets from the French
public administration and classic benchmark datasets.",198
"Physics and semantic informed multi-sensor calibration via optimization
  theory and self-supervised learning",Robotics,cs.RO,"Achieving safe and reliable autonomous driving relies greatly on the ability
to achieve an accurate and robust perception system; however, this cannot be
fully realized without precisely calibrated sensors. Environmental and
operational conditions as well as improper maintenance can produce calibration
errors inhibiting sensor fusion and, consequently, degrading the perception
performance. Traditionally, sensor calibration is performed in a controlled
environment with one or more known targets. Such a procedure can only be
carried out in between drives and requires manual operation; a tedious task if
needed to be conducted on a regular basis. This sparked a recent interest in
online targetless methods, capable of yielding a set of geometric
transformations based on perceived environmental features, however, the
required redundancy in sensing modalities makes this task even more
challenging, as the features captured by each modality and their
distinctiveness may vary. We present a holistic approach to performing joint
calibration of a camera-lidar-radar trio. Leveraging prior knowledge and
physical properties of these sensing modalities together with semantic
information, we propose two targetless calibration methods within a cost
minimization framework once via direct online optimization, and second via
self-supervised learning (SSL).",189
Nonlinear Vector Filtering for Impulsive Noise Removal from Color Images,Computer Vision and Pattern Recognition,cs.CV,"In this paper, a comprehensive survey of 48 filters for impulsive noise
removal from color images is presented. The filters are formulated using a
uniform notation and categorized into 8 families. The performance of these
filters is compared on a large set of images that cover a variety of domains
using three effectiveness and one efficiency criteria. In order to ensure a
fair efficiency comparison, a fast and accurate approximation for the inverse
cosine function is introduced. In addition, commonly used distance measures
(Minkowski, angular, and directional-distance) are analyzed and evaluated.
Finally, suggestions are provided on how to choose a filter given certain
requirements.",104
Evolving Losses for Unlabeled Video Representation Learning,Computer Vision and Pattern Recognition,cs.CV,"We present a new method to learn video representations from unlabeled data.
Given large-scale unlabeled video data, the objective is to benefit from such
data by learning a generic and transferable representation space that can be
directly used for a new task such as zero/few-shot learning. We formulate our
unsupervised representation learning as a multi-modal, multi-task learning
problem, where the representations are also shared across different modalities
via distillation. Further, we also introduce the concept of finding a better
loss function to train such multi-task multi-modal representation space using
an evolutionary algorithm; our method automatically searches over different
combinations of loss functions capturing multiple (self-supervised) tasks and
modalities. Our formulation allows for the distillation of audio, optical flow
and temporal information into a single, RGB-based convolutional neural network.
We also compare the effects of using additional unlabeled video data and
evaluate our representation learning on standard public video datasets.",149
"DASC: Robust Dense Descriptor for Multi-modal and Multi-spectral
  Correspondence Estimation",Computer Vision and Pattern Recognition,cs.CV,"Establishing dense correspondences between multiple images is a fundamental
task in many applications. However, finding a reliable correspondence in
multi-modal or multi-spectral images still remains unsolved due to their
challenging photometric and geometric variations. In this paper, we propose a
novel dense descriptor, called dense adaptive self-correlation (DASC), to
estimate multi-modal and multi-spectral dense correspondences. Based on an
observation that self-similarity existing within images is robust to imaging
modality variations, we define the descriptor with a series of an adaptive
self-correlation similarity measure between patches sampled by a randomized
receptive field pooling, in which a sampling pattern is obtained using a
discriminative learning. The computational redundancy of dense descriptors is
dramatically reduced by applying fast edge-aware filtering. Furthermore, in
order to address geometric variations including scale and rotation, we propose
a geometry-invariant DASC (GI-DASC) descriptor that effectively leverages the
DASC through a superpixel-based representation. For a quantitative evaluation
of the GI-DASC, we build a novel multi-modal benchmark as varying photometric
and geometric conditions. Experimental results demonstrate the outstanding
performance of the DASC and GI-DASC in many cases of multi-modal and
multi-spectral dense correspondences.",183
"Improving Generalization in Aerial and Terrestrial Mobile Robots Control
  Through Delayed Policy Learning",Robotics,cs.RO,"Deep Reinforcement Learning (DRL) has emerged as a promising approach to
enhancing motion control and decision-making through a wide range of robotic
applications. While prior research has demonstrated the efficacy of DRL
algorithms in facilitating autonomous mapless navigation for aerial and
terrestrial mobile robots, these methods often grapple with poor generalization
when faced with unknown tasks and environments. This paper explores the impact
of the Delayed Policy Updates (DPU) technique on fostering generalization to
new situations, and bolstering the overall performance of agents. Our analysis
of DPU in aerial and terrestrial mobile robots reveals that this technique
significantly curtails the lack of generalization and accelerates the learning
process for agents, enhancing their efficiency across diverse tasks and unknown
scenarios.",119
"N$^2$M$^2$: Learning Navigation for Arbitrary Mobile Manipulation
  Motions in Unseen and Dynamic Environments",Robotics,cs.RO,"Despite its importance in both industrial and service robotics, mobile
manipulation remains a significant challenge as it requires a seamless
integration of end-effector trajectory generation with navigation skills as
well as reasoning over long-horizons. Existing methods struggle to control the
large configuration space, and to navigate dynamic and unknown environments. In
previous work, we proposed to decompose mobile manipulation tasks into a
simplified motion generator for the end-effector in task space and a trained
reinforcement learning agent for the mobile base to account for kinematic
feasibility of the motion. In this work, we introduce Neural Navigation for
Mobile Manipulation (N$^2$M$^2$) which extends this decomposition to complex
obstacle environments and enables it to tackle a broad range of tasks in real
world settings. The resulting approach can perform unseen, long-horizon tasks
in unexplored environments while instantly reacting to dynamic obstacles and
environmental changes. At the same time, it provides a simple way to define new
mobile manipulation tasks. We demonstrate the capabilities of our proposed
approach in extensive simulation and real-world experiments on multiple
kinematically diverse mobile manipulators. Code and videos are publicly
available at http://mobile-rl.cs.uni-freiburg.de.",185
"RIDE: Real-time Intrusion Detection via Explainable Machine Learning
  Implemented in a Memristor Hardware Architecture",Cryptography and Security,cs.CR,"Deep Learning (DL) based methods have shown great promise in network
intrusion detection by identifying malicious network traffic behavior patterns
with high accuracy, but their applications to real-time, packet-level
detections in high-speed communication networks are challenging due to the high
computation time and resource requirements of Deep Neural Networks (DNNs), as
well as lack of explainability. To this end, we propose a packet-level network
intrusion detection solution that makes novel use of Recurrent Autoencoders to
integrate an arbitrary-length sequence of packets into a more compact joint
feature embedding, which is fed into a DNN-based classifier. To enable
explainability and support real-time detections at micro-second speed, we
further develop a Software-Hardware Co-Design approach to efficiently realize
the proposed solution by converting the learned detection policies into
decision trees and implementing them using an emerging architecture based on
memristor devices. By jointly optimizing associated software and hardware
constraints, we show that our approach leads to an extremely efficient,
real-time solution with high detection accuracy at the packet level. Evaluation
results on real-world datasets (e.g., UNSW and CIC-IDS datasets) demonstrate
nearly three-nines detection accuracy with a substantial speedup of nearly four
orders of magnitude.",191
Learning from Humans as an I-POMDP,Robotics,cs.RO,"The interactive partially observable Markov decision process (I-POMDP) is a
recently developed framework which extends the POMDP to the multi-agent setting
by including agent models in the state space. This paper argues for formulating
the problem of an agent learning interactively from a human teacher as an
I-POMDP, where the agent \emph{programming} to be learned is captured by random
variables in the agent's state space, all \emph{signals} from the human teacher
are treated as observed random variables, and the human teacher, modeled as a
distinct agent, is explicitly represented in the agent's state space. The main
benefits of this approach are: i. a principled action selection mechanism, ii.
a principled belief update mechanism, iii. support for the most common teacher
\emph{signals}, and iv. the anticipated production of complex beneficial
interactions. The proposed formulation, its benefits, and several open
questions are presented.",141
"Logic Locking at the Frontiers of Machine Learning: A Survey on
  Developments and Opportunities",Cryptography and Security,cs.CR,"In the past decade, a lot of progress has been made in the design and
evaluation of logic locking; a premier technique to safeguard the integrity of
integrated circuits throughout the electronics supply chain. However, the
widespread proliferation of machine learning has recently introduced a new
pathway to evaluating logic locking schemes. This paper summarizes the recent
developments in logic locking attacks and countermeasures at the frontiers of
contemporary machine learning models. Based on the presented work, the key
takeaways, opportunities, and challenges are highlighted to offer
recommendations for the design of next-generation logic locking.",95
Coordinating CAV Swarms at Intersections with a Deep Learning Model,Robotics,cs.RO,"Connected and automated vehicles (CAVs) are viewed as a special kind of
robots that have the potential to significantly improve the safety and
efficiency of traffic. In contrast to many swarm robotics studies that are
demonstrated in labs by employing a small number of robots, CAV studies aims to
achieve cooperative driving of unceasing robot swarm flows. However, how to get
the optimal passing order of such robot swarm flows even for a signal-free
intersection is an NP-hard problem (specifically, enumerating based algorithm
takes days to find the optimal solution to a 20-CAV scenario). Here, we
introduce a novel cooperative driving algorithm (AlphaOrder) that combines
offline deep learning and online tree searching to find a near-optimal passing
order in real-time. AlphaOrder builds a pointer network model from solved
scenarios and generates near-optimal passing orders instantaneously for new
scenarios. Furthermore, our approach provides a general approach to managing
preemptive resource sharing between swarm robotics (e.g., scheduling multiple
automated guided vehicles (AGVs) and unmanned aerial vehicles (UAVs) at
conflicting areas",168
"A Synergistic Approach for Recovering Occlusion-Free Textured 3D Maps of
  Urban Facades from Heterogeneous Cartographic Data",Computer Vision and Pattern Recognition,cs.CV,"In this paper we present a practical approach for generating an
occlusion-free textured 3D map of urban facades by the synergistic use of
terrestrial images, 3D point clouds and area-based information. Particularly in
dense urban environments, the high presence of urban objects in front of the
facades causes significant difficulties for several stages in computational
building modeling. Major challenges lie on the one hand in extracting complete
3D facade quadrilateral delimitations and on the other hand in generating
occlusion-free facade textures. For these reasons, we describe a
straightforward approach for completing and recovering facade geometry and
textures by exploiting the data complementarity of terrestrial multi-source
imagery and area-based information.",109
"Analysis of Intelligent Classifiers and Enhancing the Detection Accuracy
  for Intrusion Detection System",Cryptography and Security,cs.CR,"In this paper we discuss and analyze some of the intelligent classifiers
which allows for automatic detection and classification of networks attacks for
any intrusion detection system. We will proceed initially with their analysis
using the WEKA software to work with the classifiers on a well-known IDS
(Intrusion Detection Systems) dataset like NSL-KDD dataset. The NSL-KDD dataset
of network attacks was created in a military network by MIT Lincoln Labs. Then
we will discuss and experiment some of the hybrid AI (Artificial Intelligence)
classifiers that can be used for IDS, and finally we developed a Java software
with three most efficient classifiers and compared it with other options. The
outputs would show the detection accuracy and efficiency of the single and
combined classifiers used.",124
"Temporal-Channel Topology Enhanced Network for Skeleton-Based Action
  Recognition",Computer Vision and Pattern Recognition,cs.CV,"Skeleton-based action recognition has become popular in recent years due to
its efficiency and robustness. Most current methods adopt graph convolutional
network (GCN) for topology modeling, but GCN-based methods are limited in
long-distance correlation modeling and generalizability. In contrast, the
potential of convolutional neural network (CNN) for topology modeling has not
been fully explored. In this paper, we propose a novel CNN architecture,
Temporal-Channel Topology Enhanced Network (TCTE-Net), to learn spatial and
temporal topologies for skeleton-based action recognition. The TCTE-Net
consists of two modules: the Temporal-Channel Focus module, which learns a
temporal-channel focus matrix to identify the most critical feature
representations, and the Dynamic Channel Topology Attention module, which
dynamically learns spatial topological features, and fuses them with an
attention mechanism to model long-distance channel-wise topology. We conduct
experiments on NTU RGB+D, NTU RGB+D 120, and FineGym datasets. TCTE-Net shows
state-of-the-art performance compared to CNN-based methods and achieves
superior performance compared to GCN-based methods. The code is available at
https://github.com/aikuniverse/TCTE-Net.",160
"Improved Face Detection and Alignment using Cascade Deep Convolutional
  Network",Computer Vision and Pattern Recognition,cs.CV,"Real-world face detection and alignment demand an advanced discriminative
model to address challenges by pose, lighting and expression. Illuminated by
the deep learning algorithm, some convolutional neural networks based face
detection and alignment methods have been proposed. Recent studies have
utilized the relation between face detection and alignment to make models
computationally efficiency, however they ignore the connection between each
cascade CNNs. In this paper, we propose an structure to propose higher quality
training data for End-to-End cascade network training, which give computers
more space to automatic adjust weight parameter and accelerate convergence.
Experiments demonstrate considerable improvement over existing detection and
alignment models.",103
Classifiers With a Reject Option for Early Time-Series Classification,Computer Vision and Pattern Recognition,cs.CV,"Early classification of time-series data in a dynamic environment is a
challenging problem of great importance in signal processing. This paper
proposes a classifier architecture with a reject option capable of online
decision making without the need to wait for the entire time series signal to
be present. The main idea is to classify an odor/gas signal with an acceptable
accuracy as early as possible. Instead of using posterior probability of a
classifier, the proposed method uses the ""agreement"" of an ensemble to decide
whether to accept or reject the candidate label. The introduced algorithm is
applied to the bio-chemistry problem of odor classification to build a novel
Electronic-Nose called Forefront-Nose. Experimental results on wind tunnel
test-bed facility confirms the robustness of the forefront-nose compared to the
standard classifiers from both earliness and recognition perspectives.",135
Generating Hard Examples for Pixel-wise Classification,Computer Vision and Pattern Recognition,cs.CV,"Pixel-wise classification in remote sensing identifies entities in
large-scale satellite-based images at the pixel level. Few fully annotated
large-scale datasets for pixel-wise classification exist due to the challenges
of annotating individual pixels. Training data scarcity inevitably ensues from
the annotation challenge, leading to overfitting classifiers and degraded
classification performance. The lack of annotated pixels also necessarily
results in few hard examples of various entities critical for generating a
robust classification hyperplane. To overcome the problem of the data scarcity
and lack of hard examples in training, we introduce a two-step hard example
generation (HEG) approach that first generates hard example candidates and then
mines actual hard examples. In the first step, a generator that creates hard
example candidates is learned via the adversarial learning framework by fooling
a discriminator and a pixel-wise classification model at the same time. In the
second step, mining is performed to build a fixed number of hard examples from
a large pool of real and artificially generated examples. To evaluate the
effectiveness of the proposed HEG approach, we design a 9-layer fully
convolutional network suitable for pixel-wise classification. Experiments show
that using generated hard examples from the proposed HEG approach improves the
pixel-wise classification model's accuracy on red tide detection and
hyperspectral image classification tasks.",210
"From Chatbots to PhishBots? -- Preventing Phishing scams created using
  ChatGPT, Google Bard and Claude",Cryptography and Security,cs.CR,"The advanced capabilities of Large Language Models (LLMs) have made them
invaluable across various applications, from conversational agents and content
creation to data analysis, research, and innovation. However, their
effectiveness and accessibility also render them susceptible to abuse for
generating malicious content, including phishing attacks. This study explores
the potential of using four popular commercially available LLMs, i.e., ChatGPT
(GPT 3.5 Turbo), GPT 4, Claude, and Bard, to generate functional phishing
attacks using a series of malicious prompts. We discover that these LLMs can
generate both phishing websites and emails that can convincingly imitate
well-known brands and also deploy a range of evasive tactics that are used to
elude detection mechanisms employed by anti-phishing systems. These attacks can
be generated using unmodified or ""vanilla"" versions of these LLMs without
requiring any prior adversarial exploits such as jailbreaking. We evaluate the
performance of the LLMs towards generating these attacks and find that they can
also be utilized to create malicious prompts that, in turn, can be fed back to
the model to generate phishing scams - thus massively reducing the
prompt-engineering effort required by attackers to scale these threats. As a
countermeasure, we build a BERT-based automated detection tool that can be used
for the early detection of malicious prompts to prevent LLMs from generating
phishing content. Our model is transferable across all four commercial LLMs,
attaining an average accuracy of 96% for phishing website prompts and 94% for
phishing email prompts. We also disclose the vulnerabilities to the concerned
LLMs, with Google acknowledging it as a severe issue. Our detection model is
available for use at Hugging Face, as well as a ChatGPT Actions plugin.",275
"Task-Aware Meta Learning-based Siamese Neural Network for Classifying
  Obfuscated Malware",Cryptography and Security,cs.CR,"Malware authors apply different techniques of control flow obfuscation, in
order to create new malware variants to avoid detection. Existing Siamese
neural network (SNN)-based malware detection methods fail to correctly classify
different malware families when such obfuscated malware samples are present in
the training dataset, resulting in high false-positive rates. To address this
issue, we propose a novel task-aware few-shot-learning-based Siamese Neural
Network that is resilient against the presence of malware variants affected by
such control flow obfuscation techniques. Using the average entropy features of
each malware family as inputs, in addition to the image features, our model
generates the parameters for the feature layers, to more accurately adjust the
feature embedding for different malware families, each of which has obfuscated
malware variants. In addition, our proposed method can classify malware
classes, even if there are only one or a few training samples available. Our
model utilizes few-shot learning with the extracted features of a pre-trained
network (e.g., VGG-16), to avoid the bias typically associated with a model
trained with a limited number of training samples. Our proposed approach is
highly effective in recognizing unique malware signatures, thus correctly
classifying malware samples that belong to the same malware family, even in the
presence of obfuscated malware variants. Our experimental results, validated by
N-way on N-shot learning, show that our model is highly effective in
classification accuracy, exceeding a rate \textgreater 91\%, compared to other
similar methods.",236
"GAgent: An Adaptive Rigid-Soft Gripping Agent with Vision Language
  Models for Complex Lighting Environments",Robotics,cs.RO,"This paper introduces GAgent: an Gripping Agent designed for open-world
environments that provides advanced cognitive abilities via VLM agents and
flexible grasping abilities with variable stiffness soft grippers. GAgent
comprises three primary components - Prompt Engineer module, Visual-Language
Model (VLM) core and Workflow module. These three modules enhance gripper
success rates by recognizing objects and materials and accurately estimating
grasp area even under challenging lighting conditions. As part of creativity,
researchers also created a bionic hybrid soft gripper with variable stiffness
capable of gripping heavy loads while still gently engaging objects. This
intelligent agent, featuring VLM-based cognitive processing with bionic design,
shows promise as it could potentially benefit UAVs in various scenarios.",112
Impact of White-Box Adversarial Attacks on Convolutional Neural Networks,Cryptography and Security,cs.CR,"Autonomous vehicle navigation and healthcare diagnostics are among the many
fields where the reliability and security of machine learning models for image
data are critical. We conduct a comprehensive investigation into the
susceptibility of Convolutional Neural Networks (CNNs), which are widely used
for image data, to white-box adversarial attacks. We investigate the effects of
various sophisticated attacks -- Fast Gradient Sign Method, Basic Iterative
Method, Jacobian-based Saliency Map Attack, Carlini & Wagner, Projected
Gradient Descent, and DeepFool -- on CNN performance metrics, (e.g., loss,
accuracy), the differential efficacy of adversarial techniques in increasing
error rates, the relationship between perceived image quality metrics (e.g.,
ERGAS, PSNR, SSIM, and SAM) and classification performance, and the comparative
effectiveness of iterative versus single-step attacks. Using the MNIST,
CIFAR-10, CIFAR-100, and Fashio_MNIST datasets, we explore the effect of
different attacks on the CNNs performance metrics by varying the
hyperparameters of CNNs. Our study provides insights into the robustness of
CNNs against adversarial threats, pinpoints vulnerabilities, and underscores
the urgent need for developing robust defense mechanisms to protect CNNs and
ensuring their trustworthy deployment in real-world scenarios.",181
"Recognising Affordances in Predicted Futures to Plan with Consideration
  of Non-canonical Affordance Effects",Robotics,cs.RO,"We propose a novel system for action sequence planning based on a combination
of affordance recognition and a neural forward model predicting the effects of
affordance execution. By performing affordance recognition on predicted
futures, we avoid reliance on explicit affordance effect definitions for
multi-step planning. Because the system learns affordance effects from
experience data, the system can foresee not just the canonical effects of an
affordance, but also situation-specific side-effects. This allows the system to
avoid planning failures due to such non-canonical effects, and makes it
possible to exploit non-canonical effects for realising a given goal. We
evaluate the system in simulation, on a set of test tasks that require
consideration of canonical and non-canonical affordance effects.",117
N-gram Opcode Analysis for Android Malware Detection,Cryptography and Security,cs.CR,"Android malware has been on the rise in recent years due to the increasing
popularity of Android and the proliferation of third party application markets.
Emerging Android malware families are increasingly adopting sophisticated
detection avoidance techniques and this calls for more effective approaches for
Android malware detection. Hence, in this paper we present and evaluate an
n-gram opcode features based approach that utilizes machine learning to
identify and categorize Android malware. This approach enables automated
feature discovery without relying on prior expert or domain knowledge for
pre-determined features. Furthermore, by using a data segmentation technique
for feature selection, our analysis is able to scale up to 10-gram opcodes. Our
experiments on a dataset of 2520 samples showed an f-measure of 98% using the
n-gram opcode based approach. We also provide empirical findings that
illustrate factors that have probable impact on the overall n-gram opcodes
performance trends.",146
Mitigation of Adversarial Attacks through Embedded Feature Selection,Cryptography and Security,cs.CR,"Machine learning has become one of the main components for task automation in
many application domains. Despite the advancements and impressive achievements
of machine learning, it has been shown that learning algorithms can be
compromised by attackers both at training and test time. Machine learning
systems are especially vulnerable to adversarial examples where small
perturbations added to the original data points can produce incorrect or
unexpected outputs in the learning algorithms at test time. Mitigation of these
attacks is hard as adversarial examples are difficult to detect. Existing
related work states that the security of machine learning systems against
adversarial examples can be weakened when feature selection is applied to
reduce the systems' complexity. In this paper, we empirically disprove this
idea, showing that the relative distortion that the attacker has to introduce
to succeed in the attack is greater when the target is using a reduced set of
features. We also show that the minimal adversarial examples differ
statistically more strongly from genuine examples with a lower number of
features. However, reducing the feature count can negatively impact the
system's performance. We illustrate the trade-off between security and accuracy
with specific examples. We propose a design methodology to evaluate the
security of machine learning classifiers with embedded feature selection
against adversarial examples crafted using different attack strategies.",218
Conditioned Human Trajectory Prediction using Iterative Attention Blocks,Robotics,cs.RO,"Human motion prediction is key to understand social environments, with direct
applications in robotics, surveillance, etc. We present a simple yet effective
pedestrian trajectory prediction model aimed at pedestrians positions
prediction in urban-like environments conditioned by the environment: map and
surround agents. Our model is a neural-based architecture that can run several
layers of attention blocks and transformers in an iterative sequential fashion,
allowing to capture the important features in the environment that improve
prediction. We show that without explicit introduction of social masks,
dynamical models, social pooling layers, or complicated graph-like structures,
it is possible to produce on par results with SoTA models, which makes our
approach easily extendable and configurable, depending on the data available.
We report results performing similarly with SoTA models on publicly available
and extensible-used datasets with unimodal prediction metrics ADE and FDE.",138
"A Sophisticated Framework for the Accurate Detection of Phishing
  Websites",Cryptography and Security,cs.CR,"Phishing is an increasingly sophisticated form of cyberattack that is
inflicting huge financial damage to corporations throughout the globe while
also jeopardizing individuals' privacy. Attackers are constantly devising new
methods of launching such assaults and detecting them has become a daunting
task. Many different techniques have been suggested, each with its own pros and
cons. While machine learning-based techniques have been most successful in
identifying such attacks, they continue to fall short in terms of performance
and generalizability. This paper proposes a comprehensive methodology for
detecting phishing websites. The goal is to design a system that is capable of
accurately distinguishing phishing websites from legitimate ones and provides
generalized performance over a broad variety of datasets. A combination of
feature selection, greedy algorithm, cross-validation, and deep learning
methods have been utilized to construct a sophisticated stacking ensemble
classifier. Extensive experimentation on four different phishing datasets was
conducted to evaluate the performance of the proposed technique. The proposed
algorithm outperformed the other existing phishing detection models obtaining
accuracy of 97.49%, 98.23%, 97.48%, and 98.20% on dataset-1 (UCI Phishing
Websites Dataset), dataset-2 (Phishing Dataset for Machine Learning: Feature
Evaluation), dataset-3 (Phishing Websites Dataset), and dataset-4 (Web page
phishing detection), respectively. The high accuracy values obtained across all
datasets imply the models' generalizability and effectiveness in the accurate
identification of phishing websites.",219
"Learning Time-Invariant Reward Functions through Model-Based Inverse
  Reinforcement Learning",Robotics,cs.RO,"Inverse reinforcement learning is a paradigm motivated by the goal of
learning general reward functions from demonstrated behaviours. Yet the notion
of generality for learnt costs is often evaluated in terms of robustness to
various spatial perturbations only, assuming deployment at fixed speeds of
execution. However, this is impractical in the context of robotics and
building, time-invariant solutions is of crucial importance. In this work, we
propose a formulation that allows us to 1) vary the length of execution by
learning time-invariant costs, and 2) relax the temporal alignment requirements
for learning from demonstration. We apply our method to two different types of
cost formulations and evaluate their performance in the context of learning
reward functions for simulated placement and peg in hole tasks executed on a
7DoF Kuka IIWA arm. Our results show that our approach enables learning
temporally invariant rewards from misaligned demonstration that can also
generalise spatially to out of distribution tasks.",155
TracKlinic: Diagnosis of Challenge Factors in Visual Tracking,Computer Vision and Pattern Recognition,cs.CV,"Generic visual tracking is difficult due to many challenge factors (e.g.,
occlusion, blur, etc.). Each of these factors may cause serious problems for a
tracking algorithm, and when they work together can make things even more
complicated. Despite a great amount of efforts devoted to understanding the
behavior of tracking algorithms, reliable and quantifiable ways for studying
the per factor tracking behavior remain barely available. Addressing this
issue, in this paper we contribute to the community a tracking diagnosis
toolkit, TracKlinic, for diagnosis of challenge factors of tracking algorithms.
  TracKlinic consists of two novel components focusing on the data and analysis
aspects, respectively. For the data component, we carefully prepare a set of
2,390 annotated videos, each involving one and only one major challenge factor.
When analyzing an algorithm for a specific challenge factor, such
one-factor-per-sequence rule greatly inhibits the disturbance from other
factors and consequently leads to more faithful analysis. For the analysis
component, given the tracking results on all sequences, it investigates the
behavior of the tracker under each individual factor and generates the report
automatically. With TracKlinic, a thorough study is conducted on ten
state-of-the-art trackers on nine challenge factors (including two compound
ones). The results suggest that, heavy shape variation and occlusion are the
two most challenging factors faced by most trackers. Besides, out-of-view,
though does not happen frequently, is often fatal. By sharing TracKlinic, we
expect to make it much easier for diagnosing tracking algorithms, and to thus
facilitate developing better ones.",247
